timestamp,G1,G2,G3,G4,G5,G6,total,label
1970-01-01 00:00:00,0,1,1,0,1,0,3,MEDIUM
1970-01-01 00:00:01,1,0,0,0,0,0,1,LOW
1970-01-01 00:00:07,0,0,0,1,0,1,2,LOW
1970-01-01 00:00:09,0,0,1,0,1,0,2,LOW
1970-01-01 00:00:10,1,1,0,0,0,0,2,LOW
1970-01-01 00:00:18,0,0,0,1,0,0,1,LOW
1970-01-01 00:00:19,0,0,1,0,0,0,1,LOW
1970-01-01 00:00:20,1,0,0,0,0,0,1,LOW
1970-01-01 00:00:21,0,1,0,0,0,0,1,LOW
1970-01-01 00:00:27,0,0,0,1,0,0,1,LOW
1970-01-01 00:00:28,0,0,1,0,0,0,1,LOW
1970-01-01 00:00:30,0,0,0,0,1,1,2,LOW
1970-01-01 00:00:31,1,1,0,0,0,0,2,LOW
1970-01-01 00:00:38,0,0,1,0,0,0,1,LOW
1970-01-01 00:00:41,0,1,0,0,1,1,3,MEDIUM
1970-01-01 00:00:44,1,0,0,0,0,0,1,LOW
1970-01-01 00:00:49,0,0,1,0,0,0,1,LOW
1970-01-01 00:00:50,0,1,0,0,0,0,1,LOW
1970-01-01 00:00:54,1,0,0,0,0,0,1,LOW
1970-01-01 00:00:56,0,0,0,0,1,0,1,LOW
1970-01-01 00:01:00,0,0,1,0,0,1,2,LOW
1970-01-01 00:01:01,0,1,0,0,0,0,1,LOW
1970-01-01 00:01:02,0,0,0,1,0,0,1,LOW
1970-01-01 00:01:04,1,0,0,0,0,0,1,LOW
1970-01-01 00:01:08,0,0,0,0,1,0,1,LOW
1970-01-01 00:01:09,0,0,1,0,0,0,1,LOW
1970-01-01 00:01:11,0,1,0,0,0,0,1,LOW
1970-01-01 00:01:13,0,0,0,1,0,0,1,LOW
1970-01-01 00:01:14,1,0,0,0,0,0,1,LOW
1970-01-01 00:01:16,0,0,0,0,0,1,1,LOW
1970-01-01 00:01:19,0,0,1,0,0,0,1,LOW
1970-01-01 00:01:21,0,1,0,0,0,0,1,LOW
1970-01-01 00:01:22,0,0,0,1,0,0,1,LOW
1970-01-01 00:01:24,1,0,0,0,0,0,1,LOW
1970-01-01 00:01:25,0,0,0,0,1,0,1,LOW
